img,sigma,k,h,a,mu,lam,dtheta,dt,iters,psnr,ssim,score,log_path
man.tiff,10,0.2,0.08,0.1,5.0,1.2,2.0,0.05,12,31.034347397827524,0.8465072047578492,0.837538732154522,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.08,0.1,5.0,1.2,2.0,0.05,14,30.902959101480327,0.8445594014767854,0.8092675630089677,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.08,0.12,5.0,1.0,2.0,0.05,6,31.086915237497546,0.841942888419574,0.8451093577261841,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.08,0.12,5.0,1.2,2.0,0.05,6,31.017246516147953,0.8408542211542624,0.8300794632713333,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.08,0.12,5.0,1.0,2.0,0.05,8,31.222326836887362,0.8483388509701633,0.8773181919532638,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.08,0.12,5.0,1.2,2.0,0.05,8,31.15804348336792,0.847419488642847,0.8635097090279382,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.08,0.12,5.0,1.0,2.0,0.05,10,31.205122977582423,0.8502698466189321,0.875146619212039,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.08,0.12,5.0,1.2,2.0,0.05,10,31.153214330994157,0.8495768084135046,0.8640308451111524,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.08,0.12,5.0,1.0,2.0,0.05,12,31.103750885889788,0.8497591092246716,0.8540285741171939,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.08,0.12,5.0,1.2,2.0,0.05,12,31.06724434150623,0.8493059134210126,0.8462349679894603,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.08,0.12,5.0,1.0,2.0,0.05,14,30.957832690559336,0.8478659268906685,0.8228199844715751,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.08,0.12,5.0,1.2,2.0,0.05,14,30.93755532213466,0.8476496179621589,0.818515858274039,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.1,0.08,5.0,1.0,2.0,0.05,6,31.083478752283593,0.8407838131069195,0.8435942289534606,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.1,0.08,5.0,1.0,2.0,0.05,8,31.181653688866774,0.8456847140027373,0.8671306261284153,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.1,0.08,5.0,1.2,2.0,0.05,8,31.117327544727384,0.8446211331630911,0.8532124269261923,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.1,0.08,5.0,1.0,2.0,0.05,10,31.133547258509115,0.8463152226283358,0.8577200108599555,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.1,0.08,5.0,1.2,2.0,0.05,10,31.08361631279528,0.8455245972611345,0.8469409496090121,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.1,0.08,5.0,1.0,2.0,0.05,12,31.008806396427907,0.8447055213785875,0.8310468764959116,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.1,0.08,5.0,1.0,2.0,0.05,14,30.84592926073241,0.8418851478126032,0.795716141542704,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.1,0.08,5.0,1.2,2.0,0.05,14,30.8305191235511,0.8417037569122486,0.7924332440950179,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.1,0.1,5.0,1.0,2.0,0.05,6,31.0896794492076,0.841278904549935,0.8452106666108303,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.1,0.1,5.0,1.2,2.0,0.05,6,31.01900286126542,0.8401316472030389,0.8299333527478479,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.1,0.1,5.0,1.0,2.0,0.05,8,31.19053957101494,0.8464243066706941,0.8694681279829792,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.1,0.1,5.0,1.2,2.0,0.05,8,31.127521314169037,0.8454879043975126,0.8559068029606773,results/sweeps/man_sigma10\metrics.jsonl
